Geneid,E1,E2,E3,E4,E5,E6
SL1344_RS07650,39,45,77,64,57,76
SL1344_RS07655,19,43,70,10,15,26
SL1344_RS07660,42,73,135,16,14,22
SL1344_RS07665,13,15,28,4,3,12
SL1344_RS07670,1,4,1,8,8,11
SL1344_RS07675,59,104,200,10,2,8
SL1344_RS07680,4,2,9,2,1,2
SL1344_RS07685,5,22,38,7,5,3
SL1344_RS07690,9,13,17,0,2,0
SL1344_RS07695,43,102,176,0,6,4
SL1344_RS07700,4,24,13,1,6,5
SL1344_RS07705,30,42,48,2,0,3
SL1344_RS07710,31,113,192,0,0,2
SL1344_RS07715,0,0,1,0,0,0
SL1344_RS07720,4,19,17,0,2,0
SL1344_RS07725,17,22,43,0,1,1
SL1344_RS07740,15,45,56,7,12,21
SL1344_RS07745,16,25,47,2,1,4
nhaC,11,13,15,15,21,31
SL1344_RS07755,9,13,23,4,16,19
glgX,373,789,1322,139,175,244
treY,56,90,154,36,47,50
treZ,28,66,97,2,7,13
SL1344_RS07775,5,12,17,2,1,5
hdeB,5,4,1,1,2,2
SL1344_RS07785,130,263,389,45,77,81
bdm,5,12,5,0,0,0
sra,26,56,98,64,107,78
SL1344_RS07800,36,79,118,62,68,76
adhP,206,427,754,109,158,162
fdnI,5,8,24,64,92,94
fdxH,477,819,1165,164,163,986
fdnG,5070,10114,15221,2563,1265,1628
yddG,10,13,21,2,2,0
ompD,245,585,918,7409,9241,11674
SL1344_RS07840,0,0,2,5,2,0
smvA,5,3,8,2,5,0
SL1344_RS07850,15,25,36,0,3,5
SL1344_RS07855,60,133,215,2,9,8
SL1344_RS07860,311,636,1048,17,21,22
narH,235,351,614,11,30,29
narW,36,97,172,3,3,0
narI,35,70,125,8,14,8
SL1344_RS07880,45,62,136,28,29,42
nhoA,1,1,3,2,7,8
steA,157,279,458,40,53,60
ansP,4,7,7,0,1,0
SL1344_RS07900,0,0,0,0,0,0
SL1344_RS07905,13,21,40,3,6,10
SL1344_RS07910,14,20,26,0,2,1
mcbR,4,4,8,0,0,1
SL1344_RS07920,155,219,487,17,32,39
mddA,18,50,69,13,10,12
SL1344_RS07930,5,6,18,2,1,1
SL1344_RS07935,44,80,133,0,0,2
SL1344_RS07940,10,14,26,6,16,23
SL1344_RS07945,13,14,32,30,62,77
SL1344_RS07950,13,20,32,34,31,44
SL1344_RS07955,2,2,7,0,0,2
yncL,9,8,9,0,9,2
patD,161,412,603,26,39,30
SL1344_RS07965,30,33,77,11,10,19
SL1344_RS07970,29,75,128,29,52,87
SL1344_RS07975,27,101,116,0,1,0
SL1344_RS07980,531,1179,1591,30,13,16
sifB,43,78,93,0,0,0
SL1344_RS07990,3,3,2,0,0,0
SL1344_RS07995,20,16,19,10,3,3
SL1344_RS08000,11,14,25,1,0,2
SL1344_RS08005,3,8,6,1,1,3
SL1344_RS08010,77,140,247,20,20,23
tehB,8,17,19,10,15,8
tehA,2,4,6,0,5,2
SL1344_RS08025,65,149,217,1,5,12
rimL,37,71,91,7,12,4
SL1344_RS08035,180,374,627,2,6,5
SL1344_RS08040,316,635,1005,1,0,2
SL1344_RS08045,318,669,1088,7,3,7
sgcQ,170,394,680,1,2,3
SL1344_RS08055,131,295,483,1,0,4
SL1344_RS08060,163,378,544,1,8,3
SL1344_RS08065,189,342,572,3,2,4
SL1344_RS08075,3,8,10,0,0,0
SL1344_RS08080,1,0,1,0,0,0
SL1344_RS08085,37,40,98,10,12,5
SL1344_RS08090,67,129,236,8,2,1
SL1344_RS08095,418,759,1282,4,3,14
SL1344_RS08100,314,863,1173,38,46,56
SL1344_RS08105,154,375,567,243,263,387
SL1344_RS08110,11,22,41,52,55,54
SL1344_RS08115,2,2,5,5,1,1
steB,8,27,23,2,5,7
SL1344_RS08120,0,0,1,0,1,0
sseJ,4,7,10,0,0,0
SL1344_RS08130,2,1,10,0,0,0
SL1344_RS08135,1,0,6,3,2,0
SL1344_RS08140,1,0,1,0,0,0
SL1344_RS08145,0,1,0,0,2,0
SL1344_RS08150,0,0,1,0,0,0
SL1344_RS08155,2,1,4,0,2,1
SL1344_RS08160,14,27,43,8,6,12
cybB,12,28,40,20,19,26
SL1344_RS08170,74,107,185,41,32,55
hrpA,135,254,476,29,17,41
azoR,16,31,71,6,4,30
SL1344_RS08185,9,22,39,12,9,14
SL1344_RS08190,4,7,16,1,0,1
SL1344_RS08195,3,10,20,0,0,2
SL1344_RS08200,30,50,78,15,7,8
ldhA,271,460,740,88,66,135
hslJ,13,20,36,4,0,3
SL1344_RS08215,9,22,35,6,4,4
SL1344_RS26655,0,0,0,0,0,0
nifJ,321,605,1058,58,80,95
uspF,6099,10450,17870,568,816,1042
SL1344_RS08240,29,38,54,0,4,2
ttcA,20,40,55,9,5,13
dbpA,135,205,380,3,4,7
zntB,34,75,139,4,2,1
SL1344_RS08270,4,17,23,2,3,2
smrA,68,89,241,15,37,25
ogt,81,134,249,7,5,7
fnr,573,1066,1837,102,157,170
uspE,2169,4230,6994,348,406,465
SL1344_RS08295,80,113,183,22,16,16
SL1344_RS08300,8,24,33,10,9,14
SL1344_RS08305,3,3,10,0,1,1
SL1344_RS08310,0,1,8,1,2,2
SL1344_RS08320,0,0,2,0,0,0
SL1344_RS08325,0,0,1,0,0,0
SL1344_RS08330,2,4,17,0,1,0
SL1344_RS08335,1,2,5,0,0,3
SL1344_RS08345,1169,2466,3736,50,60,62
SL1344_RS08350,12,12,21,1,0,0
SL1344_RS08355,7,10,37,3,4,7
bdcA,28,30,47,9,10,29
SL1344_RS08365,26,64,61,12,9,18
SL1344_RS08370,9,19,27,2,0,1
SL1344_RS08375,43,93,134,9,7,14
SL1344_RS08380,214,377,636,61,72,96
mpaA,27,42,89,11,13,6
ycjG,25,60,94,6,4,9
tpx,267,471,709,159,201,223
tyrR,172,402,555,22,38,35
SL1344_RS08405,16,25,48,7,10,10
SL1344_RS08410,17,54,67,6,14,18
pspE,24,44,56,3,4,11
pspD,6,10,13,0,0,4
pspC,2,16,47,2,6,6
pspB,7,27,17,4,0,3
pspA,52,85,169,30,47,58
pspF,12,46,55,5,16,22
sapA,25,53,82,5,14,15
sapB,0,4,9,13,1,6
sapC,3,5,5,0,3,13
sapD,7,20,46,9,10,10
sapF,17,21,67,15,16,51
SL1344_RS08470,78,122,181,7,9,9
steC,4,4,22,3,4,0
SL1344_RS08480,0,0,0,0,0,0
SL1344_RS08485,0,3,1,0,0,0
fabI,39,70,116,54,48,75
SL1344_RS08495,5,11,12,5,0,5
SL1344_RS08500,20,36,78,15,20,21
pdeR,115,226,359,18,29,33
SL1344_RS08510,4,15,14,0,0,1
SL1344_RS08515,13,28,77,7,12,4
osmB,70,109,180,0,6,3
yciH,1,1,7,0,0,0
pyrF,7,0,16,3,0,0
lapB,13,25,44,1,2,5
SL1344_RS08540,43,96,169,19,28,29
pgpB,91,145,240,5,6,10
ribA,66,116,229,14,27,31
acnA,4046,8259,13629,275,320,414
SL1344_RS27500,121,252,346,0,0,3
SL1344_RS08560,389,773,1165,9,5,5
cysB,94,166,337,67,72,56
topA,26,47,106,67,86,67
SL1344_RS08575,9,8,29,1,0,1
sohB,40,97,116,16,21,18
SL1344_RS08585,33,76,123,62,50,93
cobO,14,44,26,0,28,15
rluB,9,26,36,10,16,15
SL1344_RS08600,44,123,157,28,20,23
yciV,66,104,177,5,5,7
trpL,0,0,0,0,0,0
SL1344_RS08610,4,6,9,425,566,691
trpD,11,17,29,715,800,940
trpCF,21,78,116,58,63,64
trpB,54,89,182,68,90,128
trpA,32,48,58,53,85,74
SL1344_RS08635,9,7,16,1,6,4
SL1344_RS08640,0,6,20,1,0,0
SL1344_RS08645,10,9,33,5,11,11
SL1344_RS08650,18,42,91,30,66,77
ompW,78,138,180,1444,1721,1978
SL1344_RS08660,18,17,44,4,6,7
SL1344_RS08665,14,53,73,4,10,7
SL1344_RS08670,15,26,51,11,26,22
yciA,3,7,5,0,0,0
tonB,3,4,15,4,0,1
SL1344_RS08685,16,41,47,12,18,24
SL1344_RS27375,3,4,19,3,6,5
cls,81,121,240,17,11,28
SL1344_RS08695,29,42,57,4,5,4
SL1344_RS08700,9,12,16,2,2,4
oppF,89,119,194,24,30,31
SL1344_RS08710,87,139,265,15,21,20
oppC,28,36,81,2,5,5
oppB,39,85,130,36,26,41
oppA,647,1307,2158,503,673,790
SL1344_RS08730,19,11,48,0,5,7
adhE,657,1315,2251,387,457,610
tdk,72,126,229,6,19,19
hns,425,720,1114,71,99,121
galU,82,218,347,163,212,294
rssB,83,189,283,24,17,23
rssA,19,71,147,9,12,6
SL1344_RS08765,21,18,30,0,3,5
purU,23,45,94,12,17,30
SL1344_RS08775,0,0,0,0,0,0
SL1344_RS24825,3,1,6,0,4,0
SL1344_RS08780,1,0,2,0,0,0
SL1344_RS24830,7,7,18,0,0,0
SL1344_RS24835,7,13,29,0,0,0
SL1344_RS24840,3,7,30,0,4,0
SL1344_RS24845,29,41,61,0,3,0
SL1344_RS08785,32,50,107,4,2,0
narJ,5,6,8,0,0,2
SL1344_RS08805,60,132,228,15,20,24
narK,2,9,25,3,5,0
narX,9,9,19,5,1,0
narL,5,29,43,10,13,8
SL1344_RS08825,14,22,72,4,3,7
SL1344_RS08830,31,44,87,18,23,20
chaB,5,6,10,0,3,0
chaA,6,10,27,8,9,12
kdsA,12,20,42,76,74,80
SL1344_RS08850,8,4,9,7,15,15
SL1344_RS08855,0,1,3,0,0,0
prmC,1,3,5,11,4,2
prfA,8,11,24,30,21,17
hemA,22,66,99,12,13,13
lolB,10,13,26,7,4,8
ispE,26,31,75,33,23,41
prs,27,84,122,62,65,98
dauA,849,1726,3041,26,47,37
ychH,1461,2157,3739,101,125,133
pth,69,118,206,0,4,2
ychF,64,102,170,5,19,22
SL1344_RS08910,11,17,47,4,1,10
SL1344_RS08915,2,3,0,0,2,0
hyaB,2,2,4,10,10,7
hyaC,0,2,4,0,1,2
SL1344_RS08930,1,1,0,0,3,0
hyaE,0,6,1,0,0,1
SL1344_RS08940,1,3,4,0,0,0
appC,2,1,2,0,3,0
appB,4,3,7,13,3,2
cbdX,0,2,3,0,0,0
SL1344_RS08960,1483,3038,4849,266,402,396
SL1344_RS08965,785,1723,2575,98,76,101
SL1344_RS08970,38,88,103,4,0,2
ycgR,16,50,52,8,17,20
emtA,5,10,27,0,3,4
ldcA,8,38,45,5,7,14
SL1344_RS08990,57,90,90,12,15,14
dadX,172,400,751,11,9,8
SL1344_RS09000,1280,2710,4772,99,150,196
SL1344_RS09005,3719,6416,10664,237,275,324
fadR,129,255,374,34,32,51
nhaB,9,13,31,17,15,22
dsbB,2,0,4,8,2,7
SL1344_RS09025,3,16,12,1,4,1
SL1344_RS09030,14,28,51,6,3,0
SL1344_RS09035,110,264,389,0,1,1
SL1344_RS09040,10,23,41,0,4,14
SL1344_RS09045,111,198,314,34,36,46
SL1344_RS09050,80,112,188,10,16,10
minC,11,31,57,17,11,10
minD,104,186,355,96,96,118
minE,20,32,48,12,12,17
rnd,2,18,33,1,0,2
fadD,1547,3198,5024,141,143,181
SL1344_RS09085,20,31,71,3,1,19
tsaB,3,4,8,0,1,4
SL1344_RS09095,7,27,31,5,11,13
SL1344_RS09100,64,52,123,24,15,23
SL1344_RS09105,3,14,15,0,0,2
pabB,12,21,39,4,8,4
SL1344_RS09115,9,24,56,3,2,2
sdaA,17,51,84,38,27,27
SL1344_RS09125,31,89,117,0,0,2
yoaE,96,158,258,1,3,6
manX,161,366,500,715,789,980
manY,64,161,229,1087,1226,1495
SL1344_RS09150,124,265,450,2348,3032,3705
SL1344_RS09155,1,1,1,4,2,0
mntP,0,0,0,0,0,0
rlmA,2,9,6,0,2,2
SL1344_RS09180,167,489,654,38,63,73
SL1344_RS09185,37,69,128,17,24,11
mgrB,5,26,21,4,4,12
SL1344_RS09195,14,20,62,7,16,10
kdgR,59,169,194,16,26,23
SL1344_RS09205,1,2,9,0,0,3
htpX,288,456,779,59,83,75
prc,46,94,127,14,30,22
proQ,18,59,60,5,13,19
SL1344_RS09225,16,15,40,0,1,4
yebS,27,54,91,2,3,3
SL1344_RS09235,104,266,337,17,27,42
rsmF,1,2,5,2,1,2
SL1344_RS09245,18,70,76,1,6,14
SL1344_RS09250,9,31,45,0,0,2
pphA,5,11,19,0,0,0
SL1344_RS09260,3,0,1,1,0,0
sopE2,26,20,23,28,46,41
SL1344_RS09270,0,0,0,0,0,0
SL1344_RS09275,14,26,49,1,2,3
SL1344_RS09280,6,19,28,0,2,2
SL1344_RS09290,91,73,112,1,5,7
SL1344_RS09305,9,19,16,3,3,2
SL1344_RS09310,2,0,3,0,1,0
SL1344_RS09315,10,1,10,0,7,0
SL1344_RS27505,3,5,10,0,0,0
SL1344_RS25410,2,0,3,0,0,0
SL1344_RS09320,101,293,330,0,0,0
SL1344_RS09325,46,138,177,2,2,0
SL1344_RS09335,2,1,7,0,0,0
SL1344_RS09340,18,24,63,3,1,1
SL1344_RS09345,0,6,4,0,0,0
SL1344_RS09370,14,10,21,4,4,2
copD,51,103,164,19,21,29
yobA,32,75,84,4,2,7
SL1344_RS09385,7,4,7,0,2,0
SL1344_RS09390,12,30,46,4,2,0
exoX,35,65,106,20,22,33
ptrB,292,591,1016,22,6,22
SL1344_RS09405,55,111,155,17,24,21
SL1344_RS09410,244,479,703,21,27,16
yebG,191,365,612,28,19,35
purT,4,6,6,12,14,5
kdgA,14,30,49,10,14,23
edd,4,6,21,5,5,15
zwf,163,276,519,117,138,165
SL1344_RS09440,117,259,463,7,8,10
pyk,229,511,791,276,350,385
lpxM,36,71,100,21,19,15
mepM,28,51,66,20,31,41
znuA,67,126,221,7,31,22
znuC,24,56,72,6,7,4
znuB,13,6,17,3,4,5
ruvB,4,23,33,9,6,2
ruvA,4,24,35,6,6,2
SL1344_RS09490,4,0,6,0,0,0
ruvC,0,10,10,0,2,0
SL1344_RS09500,34,50,75,17,19,22
nudB,3,8,8,2,2,2
aspS,71,105,198,78,94,132
SL1344_RS09515,30,81,97,9,16,18
SL1344_RS09520,16,35,55,3,10,8
SL1344_RS09525,11,21,30,1,1,3
cmoA,2,29,35,3,13,6
cmoB,10,13,24,3,8,7
cutC,3,10,19,4,3,6
SL1344_RS09545,0,9,6,0,0,2
argS,10,19,39,12,6,13
SL1344_RS09560,2,8,11,0,0,0
flhe,16,38,58,1,4,5
flhA,27,78,88,39,34,49
flhB,1,0,3,1,1,2
cheZ,64,121,221,124,140,175
cheY,173,350,578,167,223,242
cheB,493,1126,1811,308,345,381
cheR,743,1581,2498,94,110,137
tar,5231,10156,16817,1219,1496,1731
cheW,32,54,104,185,202,240
cheA,173,398,605,272,348,391
motB,371,675,1055,29,58,84
motA,213,477,813,118,121,150
flhC,45,57,109,23,39,42
flhD,56,84,161,24,39,39
SL1344_RS09635,1,5,8,0,0,0
uspC,78,150,253,4,5,18
otsA,124,276,467,24,17,35
otsB,143,209,366,5,6,4
SL1344_RS09660,9,3,6,1,0,0
SL1344_RS09665,16,17,63,9,5,6
SL1344_RS09670,4,1,17,0,7,2
SL1344_RS09675,0,0,3,1,1,3
ftnA,25,56,85,54,98,107
SL1344_RS09685,0,0,0,0,0,0
tyrP,9,9,17,7,6,8
SL1344_RS09695,405,674,1118,158,149,230
SL1344_RS09700,5,30,36,0,4,4
SL1344_RS09705,185,394,607,39,38,53
SL1344_RS09710,3,7,5,4,0,2
SL1344_RS09715,0,0,0,0,0,0
SL1344_RS09720,0,0,1,0,0,0
SL1344_RS09725,10,26,29,0,2,1
pgsA,13,31,63,5,3,13
uvrC,49,128,217,8,15,17
uvrY,92,195,284,32,51,49
SL1344_RS09745,29,43,48,0,1,0
SL1344_RS09750,0,1,5,0,0,0
sdiA,78,145,261,6,8,11
yecC,14,44,84,9,18,6
tcyL,28,78,120,5,9,11
dcyD,104,262,421,28,26,52
tcyJ,121,198,276,156,180,215
fliZ,126,202,392,162,228,288
SL1344_RS09785,848,1356,2351,111,122,198
fliB,40,94,137,35,69,83
SL1344_RS09800,26298,51811,84534,25360,31433,37717
fliD,1395,2400,3782,425,482,634
fliS,72,217,323,11,10,10
fliT,27,96,122,4,8,11
amyA,42,35,61,2,10,7
SL1344_RS09825,8,9,14,2,11,3
yedE,2,0,8,6,4,5
yedF,5,6,5,3,2,2
SL1344_RS09840,0,0,1,0,0,1
fliE,4,3,1,5,4,2
fliF,4,8,30,17,18,19
fliG,9,21,9,20,33,23
fliH,2,11,22,13,33,17
fliI,0,9,3,9,17,8
fliJ,7,2,2,11,11,26
fliK,9,9,22,123,142,183
fliL,7,8,12,21,47,36
fliM,13,11,21,18,35,32
fliN,2,3,10,6,1,3
fliO,1,7,10,13,12,12
fliP,6,13,17,2,2,2
fliQ,3,10,7,0,2,0
fliR,5,2,5,5,1,2
rcsA,3,3,2,2,2,3
dsrB,12,12,22,0,0,4
yodD,15,21,45,0,0,0
SL1344_RS09930,55,99,171,3,2,2
yedQ,30,38,74,3,10,2
SL1344_RS09940,27,36,47,3,4,10
SL1344_RS09945,6,17,18,4,8,6
yedA,0,0,10,0,0,0
SL1344_RS09955,6,2,4,5,0,2
SL1344_RS09960,48,76,146,9,3,18
SL1344_RS09965,1,8,14,9,8,7
SL1344_RS09970,4,0,3,0,2,0
ompS1,14,26,41,7,6,4
SL1344_RS25455,16,32,50,8,15,17
SL1344_RS09980,60,223,183,34,32,48
SL1344_RS09985,23,29,76,1,0,2
SL1344_RS09990,18,26,61,5,1,1
SL1344_RS09995,1,2,2,0,0,4
SL1344_RS25465,6,22,21,0,1,0
sseK,88,208,226,0,1,6
SL1344_RS10005,1,10,10,1,1,2
SL1344_RS10010,3,22,25,4,10,8
SL1344_RS10015,0,1,10,0,0,0
SL1344_RS10020,0,4,7,0,0,0
SL1344_RS10025,3,11,4,2,0,5
SL1344_RS10030,3,2,4,0,0,0
SL1344_RS10035,3,1,9,0,1,0
SL1344_RS10040,8,7,23,0,9,3
SL1344_RS10045,12,30,44,2,4,2
SL1344_RS10050,33,45,89,7,10,5
SL1344_RS10055,9,14,40,2,4,2
SL1344_RS10060,5,5,20,0,0,0
SL1344_RS10065,18,21,39,7,14,14
SL1344_RS24850,2,0,0,0,0,0
SL1344_RS10070,1,1,7,0,1,2
SL1344_RS10075,0,0,3,0,0,1
SL1344_RS10080,0,7,8,1,0,2
SL1344_RS10085,3,9,8,0,0,4
SL1344_RS10090,1,1,6,0,3,0
SL1344_RS10095,8,21,27,17,12,11
SL1344_RS10100,0,3,2,0,0,5
SL1344_RS10105,4,8,29,2,0,2
SL1344_RS10110,1,0,0,0,0,0
SL1344_RS10115,21,19,33,5,1,3
SL1344_RS10120,3,3,7,2,0,2
SL1344_RS25470,2,5,3,0,2,1
SL1344_RS10130,13,41,38,2,0,3
SL1344_RS10135,2,10,5,1,1,0
SL1344_RS10140,2,5,17,2,0,5
SL1344_RS10145,5,9,4,1,0,0
SL1344_RS10150,0,0,13,0,0,0
SL1344_RS25475,10,7,21,12,24,27
SL1344_RS10155,0,2,0,0,2,0
SL1344_RS10160,1,0,1,0,0,0
SL1344_RS10165,1,6,14,2,2,1
SL1344_RS10170,7,26,24,11,8,12
SL1344_RS10175,0,8,9,0,0,0
SL1344_RS10180,2,4,12,15,2,4
SL1344_RS10185,2,6,18,0,1,0
SL1344_RS10190,5,14,18,0,4,0
SL1344_RS10195,1,3,0,0,2,1
SL1344_RS10200,24,22,40,4,7,4
SL1344_RS10205,7,9,19,6,1,1
SL1344_RS10210,9,6,6,0,0,1
SL1344_RS10215,111,208,299,21,36,48
SL1344_RS10225,20,33,69,12,11,17
SL1344_RS10230,28,71,111,45,45,65
SL1344_RS10235,10,8,24,4,6,9
SL1344_RS10240,0,0,3,1,0,0
SL1344_RS10245,1,5,4,2,2,0
SL1344_RS10250,1,2,8,2,0,2
SL1344_RS10255,3,20,18,12,6,12
SL1344_RS10260,7,15,30,11,3,6
SL1344_RS10265,1,2,5,0,0,0
SL1344_RS10270,16,7,17,0,3,2
SL1344_RS10275,8,9,14,0,0,0
mtfA,404,817,1419,47,69,104
SL1344_RS10285,0,0,2,0,0,0
SL1344_RS10300,0,0,0,0,0,0
SL1344_RS10305,0,1,0,0,2,0
SL1344_RS10315,1,3,3,0,0,0
SL1344_RS10320,14,10,13,1,7,6
SL1344_RS27510,0,2,4,0,0,0
SL1344_RS10330,194,337,669,219,217,269
SL1344_RS10335,1,0,0,0,0,0
SL1344_RS10340,8,11,12,0,2,1
SL1344_RS10355,1,0,0,0,0,0
SL1344_RS10360,0,14,18,0,0,0
SL1344_RS10365,0,8,3,0,0,0
ldtA,286,645,1010,5,16,35
cobT,10,10,39,33,39,52
cobS,4,25,38,18,10,12
cobU,1,1,13,4,7,12
SL1344_RS10395,24,32,50,68,91,98
SL1344_RS10400,10,33,49,20,21,21
SL1344_RS10405,8,15,22,9,10,16
SL1344_RS10410,6,21,26,15,17,26
cbiM,2,16,14,176,207,256
SL1344_RS10420,6,20,42,152,136,211
SL1344_RS10425,26,56,99,199,234,305
SL1344_RS10430,7,21,39,22,18,25
SL1344_RS10435,16,45,64,96,85,130
cbiG,49,88,98,88,138,130
SL1344_RS10445,23,47,93,192,210,311
SL1344_RS10450,20,42,85,50,63,94
SL1344_RS10455,27,34,42,16,22,18
SL1344_RS10460,65,115,219,79,90,129
SL1344_RS10465,41,83,143,85,67,103
SL1344_RS10470,21,32,83,33,33,40
SL1344_RS10475,136,300,497,40,49,69
pocR,47,55,121,1,4,12
pduF,10,3,23,4,10,10
pduA,0,1,2,4,5,6
pduB,0,1,0,61,46,58
pduC,4,2,9,166,197,251
pduD,2,0,12,78,102,120
pduE,1,0,2,15,19,43
pduG,0,2,2,39,57,69
pduH,1,2,0,10,9,22
pduJ,1,2,2,3,4,11
pduK,0,0,3,1,13,10
pduL,0,4,2,4,3,6
pduM,0,3,0,1,4,6
pduN,0,0,1,6,9,1
pduO,0,0,0,13,14,8
pduP,2,16,11,18,30,42
pduQ,4,2,0,19,20,24
pduS,0,3,0,6,9,14
pduT,0,4,1,1,2,5
pduU,0,1,2,1,4,1
pduV,0,1,2,0,0,0
pduW,4,4,3,0,1,2
pduX,13,19,28,2,2,1
SL1344_RS10595,60,97,214,12,14,14
SL1344_RS10600,58,120,187,7,14,9
sbmC,188,452,647,76,103,122
dacD,14,36,48,4,2,4
SL1344_RS10615,44,125,236,220,269,340
phsB,46,63,122,48,53,95
phsA,233,431,706,210,282,338
sopA,43,60,87,28,44,43
sbcB,51,85,114,8,15,30
plaP,5,7,9,15,4,7
yoeI,0,0,0,0,0,0
SL1344_RS10645,95,148,269,2,3,2
SL1344_RS10650,103,198,371,9,20,32
hisL,0,4,4,2,1,0
hisG,14,30,44,16,23,23
hisD,21,41,61,57,54,54
hisC,29,52,87,44,40,57
hisB,31,53,85,9,15,32
hisH,4,12,24,9,3,2
hisA,9,8,17,3,8,8
hisF,30,40,55,16,17,24
SL1344_RS10690,13,24,55,26,35,41
wzzB,69,124,243,36,39,33
ugd,6,8,31,17,26,30
gndA,78,176,262,139,177,238
SL1344_RS10710,6,16,35,28,48,38
rfbK,9,21,22,40,65,84
SL1344_RS10720,9,10,27,22,35,37
rfbN,5,15,15,13,15,24
SL1344_RS10730,6,11,26,11,21,26
rfbV,4,15,13,15,20,32
SL1344_RS10740,3,12,16,15,8,7
SL1344_RS10745,16,56,54,49,30,42
rfbH,79,178,243,246,369,508
rfbG,36,101,161,82,64,93
rfbF,31,63,140,69,60,76
SL1344_RS10765,17,37,67,3,6,14
rfbC,5,15,7,3,3,2
rfbA,13,12,40,11,9,20
rfbD,17,38,72,15,14,26
rfbB,33,66,157,25,25,39
galF,52,110,229,31,51,33
wcaM,2,3,8,0,0,0
wcaL,7,2,1,3,0,0
wcaK,1,3,9,2,0,1
wzxC,2,0,5,0,0,3
wcaJ,2,0,3,0,0,0
cpsG,0,2,4,0,2,1
cpsB,0,1,0,1,0,0
wcaI,5,1,7,0,0,0
SL1344_RS10835,0,3,0,0,0,0
SL1344_RS10840,0,3,1,2,0,1
gmd,0,0,4,2,6,1
wcaF,2,1,1,0,0,0
wcaE,0,0,1,0,0,0
wcaD,2,9,0,0,0,0
wcaC,6,1,4,3,0,0
wcaB,0,0,0,0,0,0
wcaA,1,6,3,2,0,0
wzc,2,3,10,1,4,1
wzb,0,0,0,0,0,0
SL1344_RS10890,0,1,1,0,3,0
SL1344_RS10895,166,347,581,13,11,19
asmA,43,68,84,18,20,31
dcd,24,58,47,27,37,35
udk,1,8,7,0,1,2
SL1344_RS10915,93,93,174,14,7,21
alkA,5,6,7,2,2,2
yegD,2,2,9,0,1,1
SL1344_RS27385,1,5,10,1,6,1
mdtA,8,23,24,0,0,4
mdtB,2,13,15,4,2,2
mdtC,2,15,14,4,8,8
SL1344_RS10945,2,6,7,1,6,2
baeS,14,32,82,7,7,8
baeR,27,49,66,2,9,10
SL1344_RS10960,3,7,2,0,3,0
SL1344_RS10965,1,4,2,0,0,0
SL1344_RS10970,17,23,30,1,3,0
SL1344_RS10975,4,6,7,1,3,2
sseK2,21,62,84,1,0,0
SL1344_RS10985,31,119,108,2,0,0
SL1344_RS10990,195,444,729,3,3,0
yegS,46,112,168,15,7,22
fbaB,111,173,323,65,79,106
SL1344_RS11010,5,23,19,23,29,31
SL1344_RS11015,11,16,40,7,5,11
SL1344_RS11020,0,6,16,0,5,0
SL1344_RS11025,26,79,146,8,10,12
thiD,8,13,21,1,0,5
thiM,5,16,25,3,4,0
rcnB,36,47,80,18,20,20
SL1344_RS11045,4,4,1,0,0,0
SL1344_RS11050,6,22,24,0,0,0
SL1344_RS11055,0,0,2,0,0,0
yehD,0,0,0,7,5,15
SL1344_RS11065,0,1,0,0,3,0
apbC,25,52,124,62,41,44
metG,15,32,46,53,66,68
SL1344_RS11080,1,1,6,1,0,0
SL1344_RS11085,0,5,8,0,0,0
SL1344_RS11090,7,10,15,2,2,4
yehT,8,11,27,1,2,1
SL1344_RS11100,37,49,96,11,6,6
mlrA,132,276,472,1,6,3
SL1344_RS11110,0,0,0,0,0,0
SL1344_RS11115,19,63,118,7,14,9
SL1344_RS11120,1,11,19,1,0,1
SL1344_RS11125,8,15,28,2,6,2
SL1344_RS11130,46,146,232,30,33,36
bglX,35,67,91,44,89,93
dld,29,80,147,37,43,34
pbpG,11,41,21,1,9,8
SL1344_RS11150,55,141,272,2,0,0
SL1344_RS11155,12,28,30,2,0,4
SL1344_RS11160,95,212,326,4,9,13
mdtQ,0,4,19,0,6,1
yohP,2,7,4,0,1,0
dusC,85,152,249,1,0,0
SL1344_RS11175,145,236,407,13,15,21
maiA,49,152,214,1,3,5
SL1344_RS11185,141,267,463,7,14,14
gtdA,98,193,303,30,14,20
SL1344_RS11195,49,132,196,92,83,128
SL1344_RS11200,20,45,97,14,22,16
SL1344_RS11205,0,7,18,4,2,2
SL1344_RS11210,4,16,14,6,3,11
cdd,6,8,20,7,17,5
sanA,16,32,44,7,5,6
SL1344_RS11225,1,12,2,0,0,0
SL1344_RS11230,60,123,182,15,14,32
preA,70,179,258,29,49,81
mglC,6,22,40,12,5,11
mglA,19,34,57,10,11,16
mglB,42,84,142,79,101,129
galS,9,13,22,3,5,4
SL1344_RS11260,28,43,65,2,1,1
folE,43,103,177,6,8,16
fghA,170,318,558,107,132,134
SL1344_RS11275,4,16,19,0,0,1
SL1344_RS11280,5,14,18,0,3,3
serB,28,53,50,6,14,13
SL1344_RS11290,2,3,4,1,2,2
cirA,0,6,7,1,1,0
lysP,6,37,65,16,12,15
SL1344_RS11305,94,182,316,26,52,38
SL1344_RS11310,27,66,109,20,29,13
nfo,21,49,70,16,21,23
fruA,24,70,80,264,291,387
fruK,4,29,50,10,10,6
fruB,9,5,9,7,6,19
setB,0,3,2,4,0,3
