Geneid,E1,E2,E3,E4,E5,E6
SL1344_RS01695,1,3,2,0,1,0
SL1344_RS01700,0,12,9,5,0,1
SL1344_RS01705,2,18,14,3,2,7
SL1344_RS26525,2,4,14,0,0,1
SL1344_RS01715,0,1,1,0,0,0
SL1344_RS01720,2,0,1,0,0,0
stbD,0,4,15,1,0,0
SL1344_RS01730,5,13,11,0,8,2
SL1344_RS01735,0,0,0,0,0,0
SL1344_RS01740,0,0,0,0,0,0
SL1344_RS01745,0,0,1,0,3,0
SL1344_RS01755,28,73,127,2,3,6
SL1344_RS01760,23,57,46,6,1,8
SL1344_RS01765,4,6,27,0,0,0
SL1344_RS01770,0,0,0,0,0,0
SL1344_RS01775,3,0,0,0,0,0
SL1344_RS01780,0,2,1,0,0,0
SL1344_RS01785,2,7,3,2,0,0
mdsC,1,4,12,0,0,1
mdsB,3,9,7,0,0,6
mdsA,0,0,0,0,0,3
golT,12,14,14,6,3,17
golS,30,41,93,6,6,16
golB,13,31,39,0,3,2
SL1344_RS01825,24,35,75,7,5,20
SL1344_RS01830,10,16,39,16,30,33
SL1344_RS01835,23,39,95,28,21,28
SL1344_RS01840,2,4,9,0,0,0
SL1344_RS01845,13,38,49,2,4,0
cydB,306,591,1046,3076,3734,4528
SL1344_RS01855,0,0,1,0,0,0
SL1344_RS01860,16,20,49,1,4,15
foxA,23,31,32,0,0,4
SL1344_RS01870,35,55,107,5,3,0
SL1344_RS01875,640,924,1539,16,18,27
prpR,21,25,46,25,17,25
prpB,1532,2820,4652,480,524,664
prpC,2222,3910,6731,289,331,388
SL1344_RS01895,1153,2511,3912,94,73,93
prpE,663,1438,2292,25,25,48
hemB,62,119,162,66,56,58
SL1344_RS01910,11,40,88,1,2,5
iprA,0,3,1,0,0,0
ampH,4,41,51,6,4,4
sbmA,6,12,18,6,13,12
yaiW,15,18,39,9,8,14
SL1344_RS01935,82,138,263,79,87,112
SL1344_RS01940,5,12,15,2,5,3
ddlA,27,49,83,27,27,35
SL1344_RS01950,114,228,324,1,0,3
SL1344_RS01955,12,20,22,0,1,2
iraP,249,424,696,61,65,83
psiF,183,293,422,4,11,5
adrA,18,40,73,3,0,1
proC,40,134,168,59,71,94
SL1344_RS01980,2,3,13,0,4,2
aroL,26,40,48,38,54,73
SL1344_RS01990,116,151,271,10,9,25
SL1344_RS01995,41,110,204,15,13,33
ppnP,56,94,150,20,14,27
rdgC,3,17,24,4,4,4
mak,16,39,75,8,24,13
araJ,10,30,40,5,8,5
sbcC,9,12,17,22,11,37
sbcD,5,16,25,0,2,12
phoB,16,36,56,80,96,106
phoR,5,14,18,19,15,11
brnQ,61,84,126,35,51,54
proY,2,10,6,0,6,6
malZ,2,5,6,0,1,1
SL1344_RS02060,544,1005,1690,636,767,895
acpH,139,293,509,21,43,61
queA,3,11,37,1,0,2
tgt,5,21,38,1,6,13
yajC,7,21,28,12,21,36
secD,30,34,77,37,48,38
secF,19,28,55,16,17,15
SL1344_RS02095,2,7,1,0,1,4
SL1344_RS02100,1,11,9,0,0,0
SL1344_RS02105,63,120,205,13,12,17
SL1344_RS27350,7,39,62,44,27,55
SL1344_RS02115,10,10,39,27,29,47
SL1344_RS02120,17,27,35,1,3,7
nrdR,44,47,119,5,6,8
ribD,16,31,57,7,9,23
ribE,49,115,240,33,35,18
nusB,44,94,196,63,66,64
thiL,4,11,20,6,1,3
pgpA,28,42,72,0,0,3
SL1344_RS02155,1194,2101,3518,113,128,150
dxs,21,41,76,34,31,42
ispA,29,37,65,5,16,16
xseB,7,16,37,8,5,2
thiI,1,10,17,2,2,0
phnV,2,2,5,2,10,1
phnU,0,0,4,0,0,0
phnT,0,3,11,6,5,5
phnS,1,1,2,2,1,3
phnR,9,14,35,4,4,7
phnW,0,6,9,5,1,1
SL1344_RS02210,0,0,2,0,0,0
yajL,14,30,48,3,7,4
panE,78,204,269,14,16,14
SL1344_RS02225,28,65,141,15,25,24
SL1344_RS02230,11,17,45,5,2,4
SL1344_RS02235,3,6,1,2,1,3
SL1344_RS02240,1,5,3,1,0,0
cyoE,267,621,883,14,13,19
SL1344_RS02250,145,316,532,5,7,4
SL1344_RS02255,172,435,704,9,17,23
cyoB,635,1339,2137,220,203,272
cyoA,589,1137,1777,260,307,401
ampG,1,2,9,2,1,2
SL1344_RS02275,0,10,26,17,16,17
bolA,442,884,1296,22,18,17
tig,45,88,148,90,110,136
clpP,346,700,1155,107,144,148
clpX,418,828,1301,184,201,303
lon,181,386,619,229,336,373
hupB,65,128,216,203,218,243
ppiD,25,51,68,54,58,59
SL1344_RS02315,6,0,7,3,0,3
fadM,52,77,151,18,25,30
queC,8,9,21,5,3,5
SL1344_RS02330,82,125,189,10,2,9
cof,54,133,201,25,53,58
SL1344_RS02340,2,7,22,2,1,0
decR,12,41,33,0,11,2
SL1344_RS02350,11,19,29,9,9,8
SL1344_RS02355,7,11,27,3,12,9
glnK,0,0,0,17,20,25
amtB,1,5,7,44,33,52
tesB,30,39,70,26,32,33
SL1344_RS02375,1169,2377,4008,206,240,236
SL1344_RS02380,35,73,101,6,11,1
ffs,1,1,0,0,0,0
SL1344_RS02385,7,31,48,1,9,14
SL1344_RS02390,26,40,61,9,5,5
rpmJ,22,33,61,33,32,56
SL1344_RS02400,28,65,104,8,14,15
maa,62,88,184,8,7,7
hha,598,1011,1844,18,15,20
tomB,383,788,1313,13,19,26
SL1344_RS02420,133,307,475,449,498,568
acrA,191,382,598,133,187,183
acrR,78,118,216,3,1,7
mscK,5,21,31,9,15,21
SL1344_RS02440,26,63,93,9,14,4
rsmS,2,8,3,0,1,0
priC,16,8,37,0,2,10
SL1344_RS02455,0,3,5,1,2,0
apt,2,1,3,0,0,2
dnaX,2,20,22,11,11,23
SL1344_RS02470,9,17,13,14,13,11
recR,11,20,25,18,16,23
htpG,28,31,67,36,52,45
adk,4,4,16,5,8,9
hemH,28,85,158,4,4,12
aes,1,5,11,2,4,4
gsk,3,6,14,0,2,3
SL1344_RS02505,6,10,15,21,19,19
SL1344_RS02510,0,4,2,0,4,4
SL1344_RS02515,186,353,594,73,76,109
ybaK,14,38,53,10,7,13
SL1344_RS02525,6,5,4,5,5,12
SL1344_RS02530,4,4,5,0,0,1
copA,41,113,147,108,147,159
cueR,28,57,98,11,26,13
SL1344_RS02545,36,61,92,10,18,11
SL1344_RS02550,184,353,636,62,82,81
fetA,3,10,17,4,2,1
fetB,14,25,29,12,15,5
cnoX,8,2,9,52,47,50
SL1344_RS02570,5,12,12,6,4,14
tesA,13,43,55,7,0,14
SL1344_RS02580,26,67,80,6,6,10
SL1344_RS02585,35,45,130,15,10,23
SL1344_RS02590,18,51,85,4,2,4
SL1344_RS02595,39,66,108,9,17,14
sfbB,4,23,13,9,4,1
SL1344_RS02605,0,13,13,6,0,8
mnmH,76,107,234,12,22,11
allS,33,70,109,5,2,2
allA,20,37,75,0,3,3
allR,44,98,102,23,23,31
gcl,4,6,15,3,0,6
hyi,0,6,12,1,0,1
glxR,1,1,4,0,5,0
SL1344_RS02645,0,2,3,0,0,1
SL1344_RS02650,0,0,0,0,0,0
allB,1,5,11,7,8,7
SL1344_RS02660,0,4,9,0,0,0
glxK,2,4,5,0,3,3
allE,21,52,91,24,42,40
allC,11,13,8,15,7,14
allD,1,10,0,0,0,5
SL1344_RS02685,4,2,3,6,2,0
SL1344_RS02690,2,1,1,0,1,1
SL1344_RS02695,0,0,0,0,0,0
SL1344_RS02700,0,2,2,0,0,0
purK,4,13,7,6,4,0
purE,2,0,0,1,1,0
lpxH,1,3,1,0,5,4
ppiB,63,142,216,61,46,60
cysS,36,83,191,33,43,43
SL1344_RS02730,9,13,10,0,0,1
SL1344_RS02735,4,6,14,2,1,10
SL1344_RS02740,0,0,1,3,0,1
ybcJ,3,5,7,0,1,0
folD,46,109,175,22,30,41
fimA,70,96,284,348,460,544
fimI,8,28,21,2,3,7
fimC,4,10,13,4,2,0
SL1344_RS02770,15,29,52,3,3,10
fimH,7,2,15,4,15,3
sfmF,1,1,5,0,3,0
fimZ,0,2,1,0,3,1
fimY,0,5,5,0,1,0
SL1344_RS02795,0,0,0,0,0,0
fimW,0,4,6,0,0,4
SL1344_RS02805,2,0,0,1,0,0
SL1344_RS02815,2,2,1,0,0,0
SL1344_RS02820,3,0,0,2,0,0
SL1344_RS02825,0,3,0,0,0,0
SL1344_RS27355,0,0,0,1,0,0
SL1344_RS27490,1,3,4,0,0,0
SL1344_RS02845,27,27,67,3,4,3
SL1344_RS02850,27,23,48,2,1,2
SL1344_RS02855,2,3,0,0,0,6
SL1344_RS02860,4,7,6,0,1,0
SL1344_RS02865,32,63,100,18,19,19
pheP,6,9,15,8,3,3
SL1344_RS02875,27,50,74,36,38,56
SL1344_RS02880,42,80,152,75,50,74
SL1344_RS02885,34,44,73,24,45,43
SL1344_RS02890,4,7,12,2,6,7
SL1344_RS02895,6,13,10,4,4,8
SL1344_RS02900,8,18,13,10,3,7
SL1344_RS02905,5,25,26,0,4,7
SL1344_RS02910,6,10,7,0,3,3
SL1344_RS02915,8,19,24,14,7,5
nfsB,15,37,74,40,44,47
SL1344_RS02925,7,1,12,3,0,1
SL1344_RS02930,3,5,18,5,2,0
SL1344_RS02935,0,1,0,0,3,0
SL1344_RS02940,0,9,4,3,0,0
SL1344_RS02945,210,439,695,8,1,0
entD,8,4,22,0,2,0
SL1344_RS02955,11,11,32,0,3,1
fes,1,1,3,2,2,4
SL1344_RS02965,0,0,1,0,0,0
entF,8,6,15,6,8,13
fepE,12,25,40,0,3,7
fepC,0,2,1,0,4,1
fepG,0,3,4,1,1,3
fepD,0,0,3,1,0,1
entS,0,3,1,0,2,0
fepB,2,0,5,1,1,2
entC,0,2,1,1,0,0
entE,0,0,7,0,0,4
SL1344_RS03015,5,1,4,1,1,0
entA,1,6,0,0,0,0
entH,0,9,0,0,0,0
cstA,2766,6453,10492,2600,3081,3685
SL1344_RS03035,119,231,298,3,10,5
